State,Office
Amazonas,0200000 - Puerto Ayacucho
Anzoátegui,0300000 - Barcelona
Anzoátegui,0301000 - Anaco
Anzoátegui,0302000 - El Tigre
Anzoátegui,0308000 - Pariaguan
Anzoátegui,0309000 - Pto La Cruz
Anzoátegui,0310000 - Nueva Barcelona
Anzoátegui,0311000 - Clarines
Anzoátegui,0312000 - Lecheria
Anzoátegui,0313000 - El Tigre Centro
Anzoátegui,0307000 - El Tigrito
Apure,0401000 - Guasdualito
Apure,0402000 - San Fernando Centro
Apure,0400000 - San Fernando
Aragua,0501000 - Maracay Zona Ind.
Aragua,0503000 - La Victoria
Aragua,0504000 - Maracay 5 De Julio
Aragua,0506000 - Turmero
Aragua,0507000 - Villa De Cura
Aragua,0509000 - S.Sebastian D Los Reyes
Aragua,0510000 - Maracay La Democracia
Aragua,0511000 - Turmero Zona Industrial
Aragua,0512000 - La Encrucijada
Aragua,0513000 - Maracay Base Aragua
Aragua,0516000 - Maracay Santa Rosa
Aragua,0517000 - Maracay La Romana
Aragua,0511100 - Maracay Santa Rita
Aragua,0518000 - Los Cedros
Barinas,0600000 - Barinas
Barinas,0601000 - Socopo
Barinas,0602000 - Barinas Zona Ind.
Barinas,0603000 - Sta Barbara De Barinas
Barinas,0604000 - Barinas Sabaneta
Barinas,0605000 - Alto Barinas
Barinas,0605100 - Forum
Barinas,0606000 - Barinas 23 De Enero
Barinas,0600100 - Av Sucre Barinas
Bolívar,0700000 - Ciudad Bolivar
Bolívar,0701000 - Alta Vista
Bolívar,0704000 - Santa Elena De Uairen
Bolívar,0708000 - Cdad Bolivar Zona Ind.
Bolívar,0709000 - Av Las Americas
Bolívar,0702000 - Caicara Del Orinoco
Carabobo,0800000 - Valencia Centro
Carabobo,0801000 - Valencia Big Low
Carabobo,0802000 - Guacara
Carabobo,0802100 - Alianza Mall
Carabobo,0802500 - Los Guayos Zona Ind.
Carabobo,0803000 - Puerto Cabello
Carabobo,0803500 - Moron
Carabobo,0804000 - Flor Amarillo
Carabobo,0805000 - Valencia El Trigal
Carabobo,0806000 - Naguanagua
Carabobo,0808000 - Valencia Sur
Carabobo,0809000 - Bejuma
Carabobo,0810000 - Valencia La Candelaria
Carabobo,0810100 - Av. Las Ferias
Carabobo,0811000 - Valencia Zona Ind.
Carabobo,0812000 - La Isabelica
Carabobo,0814000 - Valencia El Parral
Carabobo,0815000 - Valencia San Diego
Carabobo,0815100 - La Esmeralda San Diego
Carabobo,0816000 - Valencia Norte
Carabobo,0818000 - San Diego Terrazas De Castillito
Carabobo,0820000 - Valencia GobernacióN
Carabobo,0823000 - Valencia Av. Lara
Carabobo,0826000 - Paraparal
Carabobo,0817000 - Bolivar Sur
Cojedes,0900000 - San Carlos
Cojedes,0901000 - Tinaquillo
Delta Amacuro,1000000 - Tucupita
Distrito Capital,0101000 - Los Caobos
Distrito Capital,0102000 - Bello Monte
Distrito Capital,0103000 - El Llanito
Distrito Capital,0103100 - Plaza Las Americas
Distrito Capital,0104000 - Centro
Distrito Capital,0105000 - Chacao El MuñEco
Distrito Capital,0106000 - Chuao
Distrito Capital,0107000 - El Paraiso
Distrito Capital,0108000 - Plaza Estrella
Distrito Capital,0109000 - Campo Claro
Distrito Capital,0110000 - La Trinidad
Distrito Capital,0111000 - Los Chaguaramos
Distrito Capital,0113000 - Lebrun Petare
Distrito Capital,0113200 - Palo Verde
Distrito Capital,0114000 - Sabana Grande
Distrito Capital,0115000 - Altamira
Distrito Capital,0116000 - Los Chorros
Distrito Capital,0118000 - La Piramide
Distrito Capital,0117000 - Baruta
Distrito Capital,0119000 - Las Acacias
Distrito Capital,0120000 - La Urbina
Distrito Capital,0122000 - Los Rosales
Distrito Capital,0123000 - Las Mercedes
Distrito Capital,0124000 - Santa Sofia
Distrito Capital,0125000 - El Hatillo
Distrito Capital,0126000 - El Cementerio
Distrito Capital,0128000 - Catia
Distrito Capital,0129000 - El Junquito
Distrito Capital,0130000 - Santa Monica
Distrito Capital,0131000 - El Bosque
Distrito Capital,0132000 - Caricuao
Distrito Capital,0133000 - La Florida
Distrito Capital,0134000 - San Martin
Distrito Capital,0135000 - Lecuna
Distrito Capital,0137000 - Pantin
Distrito Capital,0138000 - Las Minas
Distrito Capital,0140000 - La Candelaria
Distrito Capital,0141000 - Av. Casanova
Distrito Capital,0142000 - El Valle
Distrito Capital,0143000 - Andres Bello
Distrito Capital,0144000 - Sebucan
Distrito Capital,0145000 - Capitolio
Distrito Capital,0146000 - Antimano/ La Yaguara
Distrito Capital,0147000 - La Castellana
Distrito Capital,0148000 - Chacaito
Distrito Capital,0150000 - Los Palos Grandes
Distrito Capital,0139000 - Quinta Crespo
Distrito Capital,0132100 - Montalban
Distrito Capital,0149000 - La California
Distrito Capital,0127000 - Boleita
Falcón,1100000 - Coro
Falcón,1102000 - Tucacas
Falcón,1103000 - Caja De Agua
Falcón,1104000 - Puerta Maraven
Falcón,1105000 - El Castillo
Falcón,1106000 - Punto Fijo Av.Monagas
Falcón,1101000 - Punto Fijo Centro
Guárico,1200000 - S. Juan De Los Morros
Guárico,1201000 - Calabozo
Guárico,1202000 - Valle De La Pascua
Guárico,1203000 - Zaraza
Guárico,1204000 - Tucupido
Guárico,1205000 - Altagracia De Orituco
La Guaira,2201000 - Catia La Mar
La Guaira,2200000 - La Guaira
Lara,1300000 - Bqto Centro
Lara,1300200 - Canaima
Lara,1300300 - Andres Bello
Lara,1301000 - Bqmeto Oeste
Lara,1302000 - Carora
Lara,1303000 - Bqmeto Este
Lara,1303100 - Av. Moran
Lara,1304000 - Cabudare
Lara,1305000 - Quibor
Lara,1306000 - Valle Lindo
Lara,1307000 - Barquisimeto Nueva Segovia
Lara,1307100 - Patarata
Lara,1308000 - Babilom
Lara,1308100 - El Recreo
Lara,1309000 - Cabudare Sur
Lara,1310000 - Av. Venezuela
Lara,1303200 - Altagracia
Merida,1400000 - Merida Cubo Rojo
Merida,1401000 - Merida Paseo De La Feria
Merida,1402000 - El Vigia
Merida,1403000 - Tovar
Merida,1404000 - Ejido
Merida,1405000 - Merida Milla
Merida,1406000 - Mda Los Proceres
Merida,1407000 - Tucanizon
Miranda,1501000 - Charallave
Miranda,1501500 - Ocumare Del Tuy
Miranda,1503000 - Guarenas
Miranda,1504000 - Guatire
Miranda,1505000 - San Antonio De Los Altos
Miranda,1506000 - Higuerote
Miranda,1507000 - Rio Chico
Miranda,1508000 - Sta Teresa Del Tuy
Miranda,1509000 - Cua
Miranda,1510000 - Guatire Oasis
Miranda,1500000 - Los Teques
Miranda,1500100 - Carrizal
Monagas,1602000 - Punta De Mata
Monagas,1603000 - Maturin Centro
Monagas,1605000 - Temblador
Monagas,1606000 - Maturin Norte
Monagas,1607000 - Maturin Zona Industrial
Monagas,1608000 - Maturin Av. Raul Leoni
Monagas,1609000 - Maturin La Floresta
Monagas,1610000 - Maturin Plaza El Indio
Nueva Esparta,1702000 - Juan Griego
Nueva Esparta,1702100 - El Espinal
Nueva Esparta,1704000 - Jovito Villalba
Nueva Esparta,1705000 - Nueva Cadiz
Nueva Esparta,1706000 - Porlamar Centro
Nueva Esparta,1707000 - Villa Rosa
Nueva Esparta,1701000 - Porlamar
Portuguesa,1800000 - Guanare
Portuguesa,1801000 - Acarigua
Portuguesa,1804000 - Centro Los Llanos
Portuguesa,1802000 - Turen
Sucre,1900000 - Cumana
Sucre,1901000 - Carupano
Sucre,1902000 - Cumana Urdaneta
Táchira,2000000 - Barrio Obrero Carrera 20
Táchira,2001000 - San Cristobal Concordia
Táchira,2002000 - S. Antonio Del Tachira
Táchira,2003000 - La Fria
Táchira,2004000 - La Grita
Táchira,2005000 - Rubio
Táchira,2006000 - El PiñAl
Táchira,2007000 - Tariba
Táchira,2008000 - Barrio Obrero
Táchira,2009000 - UreñA
Táchira,2010000 - San Cristobal Centro
Táchira,2011000 - Paramillo
Táchira,2012000 - San Juan De Colon
Trujillo,2100000 - Trujillo
Trujillo,2101000 - Valera
Trujillo,2102000 - Carache
Trujillo,2103000 - Bocono
Trujillo,2104000 - Valera Los Limoncitos
Trujillo,2105000 - Valera Centro
Trujillo,2106000 - Sabana De Mendoza
Yaracuy,2300000 - San Felipe
Yaracuy,2301000 - Nirgua
Yaracuy,2303000 - Yaritagua
Zulia,2400000 - Mbo La Limpia
Zulia,2400100 - Circunvalacion 2
Zulia,2400500 - Los Olivos
Zulia,2400600 - Maracaibo Norte
Zulia,2401000 - Mbo Indio Mara
Zulia,2404000 - Ciudad Ojeda
Zulia,2406000 - Manzanillo
Zulia,2406200 - Coromoto
Zulia,2408000 - Machiques
Zulia,2412000 - Cabimas
Zulia,2413000 - La Chinita
Zulia,2414000 - Mbo Irama
Zulia,2415000 - Santa Barbara Del Zulia
Zulia,2416000 - El Venado
Zulia,2420000 - Tia Juana
Zulia,2423000 - Mbo La Lago
Zulia,2424000 - Caja Seca
Zulia,2425000 - Curva De Molina
